Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Deviation,Deviation_Percentage,Wind Layer,Deviation_Z,Deviation_Severity
01 01 2018 00:00,380.047790527343,5.31133604049682,416.328907824861,259.994903564453,36.281117297517994,8.71453233624136,Low,-0.3468195247118868,LOW
01 01 2018 00:10,453.76919555664,5.67216682434082,519.917511061494,268.64111328125,66.148315504854,12.722848162932948,Low,-0.27701976136009,LOW
01 01 2018 00:20,306.376586914062,5.21603679656982,390.900015810951,272.564788818359,84.52342889688902,21.622774489159053,Low,-0.23407704683350783,LOW
01 01 2018 00:30,419.645904541015,5.65967416763305,516.127568975674,271.258087158203,96.48166443465897,18.693375481984052,Low,-0.2061306018791775,LOW
01 01 2018 00:40,380.650695800781,5.57794094085693,491.702971953588,265.674285888671,111.052276152807,22.58523590198866,Low,-0.17207902319551485,LOW
01 01 2018 00:50,402.391998291015,5.60405206680297,499.436385024805,264.57861328125,97.04438673379002,19.430780304276432,Low,-0.20481551758370853,LOW
01 01 2018 01:00,447.605712890625,5.79300785064697,557.372363290225,266.163604736328,109.76665039960005,19.69359401884164,Low,-0.1750835357952531,LOW
01 01 2018 01:10,387.2421875,5.30604982376098,414.898178826186,257.949493408203,27.655991326185983,6.665729747098252,Low,-0.3669764790903708,LOW
01 01 2018 01:20,463.651214599609,5.58462905883789,493.677652137077,253.480697631835,30.02643753746804,6.082195012775411,Low,-0.361436736680083,LOW
01 01 2018 01:30,439.725708007812,5.52322816848754,475.706782818068,258.72378540039,35.98107481025602,7.563708593160174,Low,-0.34752072522158933,LOW
01 01 2018 01:40,498.181701660156,5.72411584854125,535.841397042263,251.850997924804,37.659695382106975,7.028142205880497,Low,-0.34359778213669445,LOW
01 01 2018 01:50,526.816223144531,5.93419885635375,603.014076510633,265.504699707031,76.19785336610198,12.636164947761111,Low,-0.2535339506174627,LOW
01 01 2018 02:00,710.587280273437,6.54741382598876,824.662513585882,274.23291015625,114.075233312445,13.832959717837953,Moderate,-0.16501436005233708,LOW
01 01 2018 02:10,655.194274902343,6.19974613189697,693.472641075637,266.733184814453,38.27836617329399,5.519809132472895,Moderate,-0.3421519459883638,LOW
01 01 2018 02:20,754.762512207031,6.50538301467895,808.098138482693,266.76040649414,53.33562627566198,6.600142202506047,Moderate,-0.3069630680569349,LOW
01 01 2018 02:30,790.173278808593,6.63411617279052,859.459020788565,270.493194580078,69.28574197997204,8.061552709796619,Moderate,-0.2696875829623482,LOW
01 01 2018 02:40,742.985290527343,6.37891292572021,759.434536596592,266.593292236328,16.449246069249057,2.1659860431112863,Moderate,-0.3931666882103524,LOW
01 01 2018 02:50,748.229614257812,6.4466528892517,785.28100987646,265.571807861328,37.051395618647916,4.718234001924588,Moderate,-0.34501938115116,LOW
01 01 2018 03:00,736.647827148437,6.41508293151855,773.172863451736,261.15869140625,36.525036303298975,4.724045298258064,Moderate,-0.346249485006042,LOW
01 01 2018 03:10,787.246215820312,6.43753099441528,781.7712157188,257.56021118164,-5.475000101512023,-0.7003327816921516,Moderate,-0.4444037404360876,LOW
01 01 2018 03:20,722.864074707031,6.22002410888671,700.764699868076,255.926498413085,-22.099374838954986,-3.153608457034915,Moderate,-0.48325497162589826,LOW
01 01 2018 03:30,935.033386230468,6.89802598953247,970.736626881787,250.012893676757,35.70324065131899,3.677953387419347,Moderate,-0.3481700247779196,LOW
01 01 2018 03:40,1220.60900878906,7.60971117019653,1315.04892785216,255.985702514648,94.43991906309998,7.181475689832058,Moderate,-0.21090216909382303,LOW
01 01 2018 03:50,1053.77197265625,7.28835582733154,1151.26574355584,255.444595336914,97.49377089958989,8.468398494900683,Moderate,-0.20376530496553363,LOW
01 01 2018 04:00,1493.80798339843,7.94310188293457,1497.58372354361,256.407409667968,3.7757401451799524,0.2521221408740826,Moderate,-0.42278472295859804,LOW
01 01 2018 04:10,1724.48803710937,8.37616157531738,1752.19966204818,252.41259765625,27.71162493881002,1.581533516929079,Moderate,-0.3668464631120187,LOW
01 01 2018 04:20,1636.93505859375,8.23695755004882,1668.47070685152,247.979400634765,31.535648257769935,1.890093013216824,Moderate,-0.35790970510538406,LOW
01 01 2018 04:30,1385.48803710937,7.87959098815917,1461.81579081391,238.609603881835,76.3277537045401,5.221434477872367,Moderate,-0.25323037299965745,LOW
01 01 2018 04:40,1098.93200683593,7.10137605667114,1062.28503444311,245.095596313476,-36.64697239282009,-3.449824783800312,Moderate,-0.5172527661142863,LOW
01 01 2018 04:50,1021.4580078125,6.95530700683593,995.995854606612,245.410202026367,-25.462153205887944,-2.556451724986819,Moderate,-0.491113798308838,LOW
